Province,GT_freq,GT_amount,5K_freq,5K_amount,5K_10K_freq,5K_10K_amount,10K_15K_freq,10K_15K_amount,15K_20K_freq,15K_20K_amount,20K_25K_freq,20K_25K_amount ,25K_30K_freq,25K_30K_amount,30K_35K_freq,30K_35K_amount,35K_40K_freq,35K_40K_amount,40K_45K_freq,40K_45K_amount,45K_50K_freq,45K_50K_amount,50K_55K_freq,50K_55K_amount,55K_60K_freq,55K_60K_amount,60K_freq,60K_amount
Newfoundland_and_Labrador,160300,"$65,756",26410,"$7,044",16150,"$5,278",19530,"$8,527",28520,"$13,023",18290,"$8,540",18820,"$9,207",15370,"$7,518",12620,"$5,157",3980,"$1,274",550,$169,60,$18,,,,
Prince_Edward_Island,45850,"$18,648",8000,"$2,115",4220,"$1,363",4900,"$2,003",7240,"$3,332",5820,"$2,776",5250,"$2,520",4790,"$2,321",4020,"$1,676",1260,$422,290,$102,50,$14,10,$4,,
Nova_Scotia,302210,"$122,873",59800,"$17,694",38340,"$13,202",29460,"$12,610",44640,"$20,540",35870,"$16,942",29900,"$14,249",29700,"$14,352",25480,"$10,312",7530,"$2,501",1280,$406,190,$57,20,$7,,
New_Brunswick,249780,"$102,431",43160,"$11,986",29500,"$9,489",24660,"$11,372",39740,"$18,130",29700,"$13,994",27650,"$13,379",25490,"$12,383",21760,"$8,996",6670,"$2,243",1240,$395,200,$59,20,$4,,
Quebec,2698620,"$1,082,380",495090,"$132,486",288830,"$101,067",353700,"$138,867",429720,"$194,299",291000,"$135,812",256360,"$124,147",258750,"$127,158",234200,"$97,567",73060,"$25,216",15330,"$5,039",2390,$662,170,$51,30,$8
Ontario,3982840,"$1,647,108",852320,"$249,084",426320,"$151,182",573760,"$243,898",563100,"$270,404",440530,"$217,190",362380,"$179,196",328470,"$162,303",308840,"$129,493",99930,"$35,557",23370,"$7,656",3460,"$1,028",300,$97,50,$18
Manitoba,385370,"$162,874",101660,"$35,032",35830,"$12,788",44610,"$19,386",48710,"$23,418",40510,"$19,740",34860,"$17,185",33840,"$16,759",31830,"$13,517",10040,"$3,816",2780,$999,620,$202,70,$23,20,$10
Saskatchewan,291210,"$125,501",72980,"$26,349",23750,"$8,961",29560,"$12,701",43070,"$20,642",33870,"$16,671",27420,"$13,623",26620,"$13,072",24050,"$9,945",7540,"$2,728",1890,$662,410,$126,50,$16,10,$5
Alberta,921590,"$384,471",208080,"$65,556",80350,"$28,722",91240,"$39,264",124420,"$59,999",121870,"$57,588",91450,"$43,595",87090,"$42,645",83290,"$34,831",25190,"$9,331",6970,"$2,429",1380,$433,200,$62,50,$14
British_Columbia,1390640,"$561,578",304940,"$89,447",124170,"$42,769",195460,"$79,598",199330,"$93,329",159180,"$75,739",134750,"$64,798",118750,"$56,608",111800,"$45,130",34040,"$11,603",7160,"$2,253",970,$270,80,$26,20,$7
Northwest_Territories,10740,"$4,478",2890,$998,1420,$541,1350,$571,1370,$664,1160,$558,860,$420,690,$337,720,$289,200,$71,60,$21,20,$7,,,,
Yukon,9110,"$3,788",1600,$442,730,$259,1030,$423,1470,$710,1290,$620,970,$462,920,$441,840,$337,230,$75,40,$15,,,,,,
Nunavut,8530,"$4,383",1680,$567,1740,$727,1220,$724,1060,$694,800,$508,620,$397,540,$328,490,$265,220,$107,110,$48,40,$16,,,,
Outside_Canada,920,$436,350,$159,120,$44,130,$63,90,$46,80,$44,50,$28,50,$27,30,$15,,,,,,,,,,
